SNO,BHK,Sq. ft.,Crime rate(%),Distance from Hospital,Distance from Workplace, Distance from Market,Distance from Rly. Station,Rent
0,1,390,5,5,8,5,6,4233
1,2,643,17,10,1,9,6,6966
2,2,608,2,1,8,6,9,6466
3,1,397,18,8,1,4,7,3949
4,3,859,17,7,7,8,6,10348
5,1,562,24,5,3,3,7,6249
6,3,1226,38,10,10,3,2,12457
7,3,1030,4,10,3,2,10,12162
8,1,451,12,7,5,6,4,4739
9,3,1140,36,7,8,4,6,12969
10,2,498,3,10,6,2,9,5267
11,3,935,40,5,3,7,6,9439
12,3,1097,29,2,10,5,4,13225
13,1,569,20,8,9,9,5,6506
14,3,872,3,3,4,6,2,9056
15,2,419,16,5,6,1,4,5300
16,2,359,39,5,10,3,4,3865
17,1,628,8,4,3,9,6,6162
18,1,506,29,7,9,1,10,6375
19,3,1079,18,4,2,6,1,13363
20,1,570,4,2,4,4,1,6334
21,2,521,25,5,9,2,7,6360
22,2,596,28,9,1,4,2,6147
23,3,874,35,4,2,7,4,11250
24,1,632,27,8,5,9,2,6114
25,3,1394,14,2,5,2,1,11551
26,3,924,17,4,7,3,6,11445
27,1,520,26,9,6,2,1,6518
28,2,606,39,8,3,2,9,6373
29,2,555,30,6,4,2,10,6580
30,1,578,20,2,1,4,3,6108
31,1,605,31,10,4,9,10,6351
32,1,387,16,2,1,8,3,4116
33,2,635,24,4,3,1,1,6493
34,3,972,10,3,7,9,8,9826
35,2,500,22,5,8,5,5,4811
36,2,546,39,7,5,10,2,6594
37,1,398,37,7,9,10,6,3791
38,2,380,36,5,10,8,9,4135
39,2,363,19,2,7,7,7,4020
40,1,527,11,4,9,5,4,6000
41,2,489,2,3,8,5,8,5431
42,3,1399,15,9,1,10,3,13938
43,2,395,33,9,10,4,6,4250
44,2,612,40,7,1,5,4,6808
45,3,819,14,3,7,8,9,8430
46,1,543,15,8,6,1,2,6372
47,2,536,4,6,8,3,5,6459
48,1,369,22,4,7,1,5,4385
49,1,429,7,2,2,1,8,4984
50,2,523,12,4,9,5,2,6669
51,2,369,21,8,9,6,5,3820
52,2,378,30,9,5,1,2,3746
53,3,1036,9,1,5,1,8,12483
54,1,482,20,5,3,5,7,4771
55,2,495,24,3,4,9,5,4560
56,1,359,36,2,9,6,3,3897
57,3,1243,30,1,1,10,3,13946
58,3,1150,14,8,7,4,10,11815
59,1,392,32,2,9,10,1,4058
60,1,500,32,10,9,7,2,5061
61,3,1398,35,7,4,10,3,13755
62,2,506,20,7,10,3,8,6099
63,3,1285,8,10,9,6,7,13944
64,2,625,3,3,10,1,7,6098
65,2,406,40,10,4,8,5,4567
